date,data,cols
1,10.6,channel_1
2,10.6,channel_1
3,14.18,channel_1
4,20.55,channel_1
5,20.55,channel_1
6,20.55,channel_1
7,20.14,channel_1
8,15.97,channel_1
9,19.44,channel_1
10,31.69,channel_1
11,23.89,channel_1
12,18.72,channel_1
13,16.59,channel_1
14,23.34,channel_1
15,23.13,channel_1
16,27.98,channel_1
17,21.25,channel_1
18,22.28,channel_1
19,22.28,channel_1
20,23.94,channel_1
21,25.53,channel_1
22,25.53,channel_1
23,25.53,channel_1
24,25.53,channel_1
25,25.53,channel_1
26,25.53,channel_1
27,25.53,channel_1
28,25.53,channel_1
29,25.53,channel_1
30,25.53,channel_1
31,25.53,channel_1
32,25.53,channel_1
33,27.05,channel_1
34,27.05,channel_1
35,27.05,channel_1
36,27.05,channel_1
37,26.97,channel_1
38,25.72,channel_1
39,25.72,channel_1
40,25.72,channel_1
41,25.72,channel_1
42,25.72,channel_1
43,25.72,channel_1
44,25.72,channel_1
45,25.72,channel_1
46,25.72,channel_1
47,25.72,channel_1
48,25.72,channel_1
49,25.72,channel_1
50,0.0,channel_1
51,25.72,channel_1
52,25.72,channel_1
53,25.72,channel_1
54,25.72,channel_1
55,25.72,channel_1
56,25.72,channel_1
57,25.72,channel_1
58,25.72,channel_1
59,25.72,channel_1
60,25.72,channel_1
61,25.72,channel_1
62,25.72,channel_1
63,28.28,channel_1
64,21.5,channel_1
65,29.13,channel_1
66,25.72,channel_1
67,25.72,channel_1
68,0.0,channel_1
69,21.5,channel_1
70,27.43,channel_1
71,25.72,channel_1
72,25.72,channel_1
73,25.72,channel_1
74,25.72,channel_1
75,0.0,channel_1
76,0.0,channel_1
77,0.0,channel_1
78,0.0,channel_1
