date,data,cols
2015-01-01 00:00:00,26.0,channel_1
2015-01-02 00:00:00,79.0,channel_1
2015-01-03 00:00:00,62.0,channel_1
2015-01-04 00:00:00,76.0,channel_1
2015-01-05 00:00:00,292.0,channel_1
2015-01-06 00:00:00,414.0,channel_1
2015-01-07 00:00:00,412.0,channel_1
2015-01-08 00:00:00,484.0,channel_1
2015-01-09 00:00:00,326.0,channel_1
2015-01-10 00:00:00,117.0,channel_1
2015-01-11 00:00:00,144.0,channel_1
2015-01-12 00:00:00,378.0,channel_1
2015-01-13 00:00:00,448.0,channel_1
2015-01-14 00:00:00,501.0,channel_1
2015-01-15 00:00:00,495.0,channel_1
2015-01-16 00:00:00,349.0,channel_1
2015-01-17 00:00:00,120.0,channel_1
2015-01-18 00:00:00,59.0,channel_1
2015-01-19 00:00:00,106.0,channel_1
2015-01-20 00:00:00,395.0,channel_1
2015-01-21 00:00:00,453.0,channel_1
2015-01-22 00:00:00,441.0,channel_1
2015-01-23 00:00:00,292.0,channel_1
2015-01-24 00:00:00,99.0,channel_1
2015-01-25 00:00:00,124.0,channel_1
2015-01-26 00:00:00,163.0,channel_1
2015-01-27 00:00:00,50.0,channel_1
2015-01-28 00:00:00,438.0,channel_1
2015-01-29 00:00:00,451.0,channel_1
2015-01-30 00:00:00,338.0,channel_1
2015-01-31 00:00:00,117.0,channel_1
2015-02-01 00:00:00,160.0,channel_1
2015-02-02 00:00:00,349.0,channel_1
2015-02-03 00:00:00,543.0,channel_1
2015-02-04 00:00:00,564.0,channel_1
2015-02-05 00:00:00,528.0,channel_1
2015-02-06 00:00:00,512.0,channel_1
2015-02-07 00:00:00,145.0,channel_1
2015-02-08 00:00:00,160.0,channel_1
2015-02-09 00:00:00,339.0,channel_1
2015-02-10 00:00:00,435.0,channel_1
2015-02-11 00:00:00,462.0,channel_1
2015-02-12 00:00:00,435.0,channel_1
2015-02-13 00:00:00,337.0,channel_1
2015-02-14 00:00:00,69.0,channel_1
2015-02-15 00:00:00,77.0,channel_1
2015-02-16 00:00:00,121.0,channel_1
2015-02-17 00:00:00,375.0,channel_1
2015-02-18 00:00:00,463.0,channel_1
2015-02-19 00:00:00,466.0,channel_1
2015-02-20 00:00:00,351.0,channel_1
2015-02-21 00:00:00,105.0,channel_1
2015-02-22 00:00:00,123.0,channel_1
2015-02-23 00:00:00,410.0,channel_1
2015-02-24 00:00:00,476.0,channel_1
2015-02-25 00:00:00,459.0,channel_1
2015-02-26 00:00:00,501.0,channel_1
2015-02-27 00:00:00,357.0,channel_1
2015-02-28 00:00:00,125.0,channel_1
2015-03-01 00:00:00,125.0,channel_1
2015-03-02 00:00:00,125.0,channel_1
2015-03-03 00:00:00,125.0,channel_1
2015-03-04 00:00:00,125.0,channel_1
2015-03-05 00:00:00,125.0,channel_1
2015-03-06 00:00:00,125.0,channel_1
2015-03-07 00:00:00,125.0,channel_1
2015-03-08 00:00:00,125.0,channel_1
2015-03-09 00:00:00,125.0,channel_1
2015-03-10 00:00:00,125.0,channel_1
2015-03-11 00:00:00,125.0,channel_1
2015-03-12 00:00:00,125.0,channel_1
2015-03-13 00:00:00,125.0,channel_1
2015-03-14 00:00:00,125.0,channel_1
2015-03-15 00:00:00,125.0,channel_1
2015-03-16 00:00:00,125.0,channel_1
2015-03-17 00:00:00,125.0,channel_1
2015-03-18 00:00:00,125.0,channel_1
2015-03-19 00:00:00,125.0,channel_1
2015-03-20 00:00:00,125.0,channel_1
2015-03-21 00:00:00,125.0,channel_1
2015-03-22 00:00:00,125.0,channel_1
2015-03-23 00:00:00,125.0,channel_1
2015-03-24 00:00:00,125.0,channel_1
2015-03-25 00:00:00,125.0,channel_1
2015-03-26 00:00:00,125.0,channel_1
2015-03-27 00:00:00,125.0,channel_1
2015-03-28 00:00:00,125.0,channel_1
2015-03-29 00:00:00,125.0,channel_1
2015-03-30 00:00:00,125.0,channel_1
2015-03-31 00:00:00,125.0,channel_1
2015-04-01 00:00:00,448.0,channel_1
2015-04-02 00:00:00,399.0,channel_1
2015-04-03 00:00:00,119.0,channel_1
2015-04-04 00:00:00,47.0,channel_1
2015-04-05 00:00:00,51.0,channel_1
2015-04-06 00:00:00,296.0,channel_1
2015-04-07 00:00:00,399.0,channel_1
2015-04-08 00:00:00,442.0,channel_1
2015-04-09 00:00:00,403.0,channel_1
2015-04-10 00:00:00,259.0,channel_1
2015-04-11 00:00:00,88.0,channel_1
2015-04-12 00:00:00,125.0,channel_1
2015-04-13 00:00:00,354.0,channel_1
2015-04-14 00:00:00,425.0,channel_1
2015-04-15 00:00:00,442.0,channel_1
2015-04-16 00:00:00,430.0,channel_1
2015-04-17 00:00:00,269.0,channel_1
2015-04-18 00:00:00,91.0,channel_1
2015-04-19 00:00:00,124.0,channel_1
2015-04-20 00:00:00,343.0,channel_1
2015-04-21 00:00:00,443.0,channel_1
2015-04-22 00:00:00,461.0,channel_1
2015-04-23 00:00:00,422.0,channel_1
2015-04-24 00:00:00,295.0,channel_1
2015-04-25 00:00:00,117.0,channel_1
2015-04-26 00:00:00,119.0,channel_1
2015-04-27 00:00:00,321.0,channel_1
2015-04-28 00:00:00,407.0,channel_1
2015-04-29 00:00:00,427.0,channel_1
2015-04-30 00:00:00,415.0,channel_1
2015-05-01 00:00:00,315.0,channel_1
2015-05-02 00:00:00,89.0,channel_1
2015-05-03 00:00:00,102.0,channel_1
2015-05-04 00:00:00,318.0,channel_1
2015-05-05 00:00:00,394.0,channel_1
2015-05-06 00:00:00,458.0,channel_1
2015-05-07 00:00:00,426.0,channel_1
2015-05-08 00:00:00,307.0,channel_1
2015-05-09 00:00:00,104.0,channel_1
2015-05-10 00:00:00,124.0,channel_1
2015-05-11 00:00:00,351.0,channel_1
2015-05-12 00:00:00,434.0,channel_1
2015-05-13 00:00:00,442.0,channel_1
2015-05-14 00:00:00,442.0,channel_1
2015-05-15 00:00:00,339.0,channel_1
2015-05-16 00:00:00,95.0,channel_1
2015-05-17 00:00:00,142.0,channel_1
2015-05-18 00:00:00,371.0,channel_1
2015-05-19 00:00:00,402.0,channel_1
2015-05-20 00:00:00,414.0,channel_1
2015-05-21 00:00:00,407.0,channel_1
2015-05-22 00:00:00,238.0,channel_1
2015-05-23 00:00:00,53.0,channel_1
2015-05-24 00:00:00,78.0,channel_1
2015-05-25 00:00:00,57.0,channel_1
2015-05-26 00:00:00,281.0,channel_1
2015-05-27 00:00:00,389.0,channel_1
2015-05-28 00:00:00,461.0,channel_1
2015-05-29 00:00:00,246.0,channel_1
2015-05-30 00:00:00,81.0,channel_1
2015-05-31 00:00:00,104.0,channel_1
2015-06-01 00:00:00,432.0,channel_1
2015-06-02 00:00:00,476.0,channel_1
2015-06-03 00:00:00,404.0,channel_1
2015-06-04 00:00:00,428.0,channel_1
2015-06-05 00:00:00,245.0,channel_1
2015-06-06 00:00:00,88.0,channel_1
2015-06-07 00:00:00,117.0,channel_1
2015-06-08 00:00:00,405.0,channel_1
2015-06-09 00:00:00,429.0,channel_1
2015-06-10 00:00:00,450.0,channel_1
2015-06-11 00:00:00,476.0,channel_1
2015-06-12 00:00:00,304.0,channel_1
2015-06-13 00:00:00,106.0,channel_1
2015-06-14 00:00:00,134.0,channel_1
2015-06-15 00:00:00,386.0,channel_1
2015-06-16 00:00:00,461.0,channel_1
2015-06-17 00:00:00,448.0,channel_1
2015-06-18 00:00:00,509.0,channel_1
2015-06-19 00:00:00,311.0,channel_1
2015-06-20 00:00:00,97.0,channel_1
2015-06-21 00:00:00,165.0,channel_1
2015-06-22 00:00:00,352.0,channel_1
2015-06-23 00:00:00,460.0,channel_1
2015-06-24 00:00:00,419.0,channel_1
2015-06-25 00:00:00,421.0,channel_1
2015-06-26 00:00:00,248.0,channel_1
2015-06-27 00:00:00,79.0,channel_1
2015-06-28 00:00:00,128.0,channel_1
2015-06-29 00:00:00,253.0,channel_1
2015-06-30 00:00:00,229.0,channel_1
2015-07-01 00:00:00,394.0,channel_1
2015-07-02 00:00:00,245.0,channel_1
2015-07-03 00:00:00,64.0,channel_1
2015-07-04 00:00:00,36.0,channel_1
2015-07-05 00:00:00,74.0,channel_1
2015-07-06 00:00:00,313.0,channel_1
2015-07-07 00:00:00,441.0,channel_1
2015-07-08 00:00:00,498.0,channel_1
2015-07-09 00:00:00,477.0,channel_1
2015-07-10 00:00:00,293.0,channel_1
2015-07-11 00:00:00,77.0,channel_1
