date,data,cols
1.0,0.606071,Open
2.0,0.611248,Open
3.0,0.621109,Open
4.0,0.627735,Open
5.0,0.632357,Open
6.0,0.632203,Open
7.0,0.632203,Open
8.0,0.629738,Open
9.0,0.631279,Open
10.0,0.631433,Open
11.0,0.635285,Open
12.0,0.637904,Open
13.0,0.642527,Open
14.0,0.644222,Open
15.0,0.648844,Open
16.0,0.651772,Open
17.0,0.657473,Open
18.0,0.661479,Open
19.0,0.664099,Open
20.0,0.664099,Open
21.0,0.667643,Open
22.0,0.66225,Open
23.0,0.657935,Open
24.0,0.656703,Open
25.0,0.65547,Open
26.0,0.653005,Open
27.0,0.657319,Open
28.0,0.661633,Open
29.0,0.666718,Open
30.0,0.668105,Open
31.0,0.668413,Open
32.0,0.668413,Open
33.0,0.666256,Open
34.0,0.661325,Open
35.0,0.66225,Open
36.0,0.658706,Open
37.0,0.65547,Open
38.0,0.652851,Open
39.0,0.647612,Open
40.0,0.641602,Open
41.0,0.64037,Open
42.0,0.639137,Open
43.0,0.638367,Open
44.0,0.642219,Open
45.0,0.645917,Open
46.0,0.647149,Open
47.0,0.648074,Open
48.0,0.649615,Open
49.0,0.649769,Open
50.0,0.649461,Open
51.0,0.650077,Open
52.0,0.651002,Open
53.0,0.653159,Open
54.0,0.656086,Open
55.0,0.658089,Open
56.0,0.661017,Open
57.0,0.663174,Open
58.0,0.661171,Open
59.0,0.656703,Open
60.0,0.651002,Open
61.0,0.646071,Open
62.0,0.637904,Open
63.0,0.634052,Open
64.0,0.630046,Open
65.0,0.628968,Open
66.0,0.624653,Open
67.0,0.624037,Open
68.0,0.62265,Open
69.0,0.624191,Open
70.0,0.619414,Open
71.0,0.622034,Open
72.0,0.622496,Open
73.0,0.62265,Open
74.0,0.622496,Open
75.0,0.627273,Open
76.0,0.630046,Open
77.0,0.635593,Open
78.0,0.639908,Open
79.0,0.639599,Open
80.0,0.640678,Open
81.0,0.639599,Open
82.0,0.633128,Open
83.0,0.630046,Open
84.0,0.633744,Open
85.0,0.635439,Open
86.0,0.637288,Open
87.0,0.64453,Open
88.0,0.644992,Open
89.0,0.646071,Open
90.0,0.644684,Open
91.0,0.644376,Open
92.0,0.643606,Open
93.0,0.646379,Open
94.0,0.646071,Open
95.0,0.648998,Open
96.0,0.648998,Open
97.0,0.647304,Open
98.0,0.644684,Open
99.0,0.642527,Open
100.0,0.646379,Open
101.0,0.650693,Open
102.0,0.656086,Open
103.0,0.660247,Open
104.0,0.663174,Open
105.0,0.658706,Open
106.0,0.653159,Open
107.0,0.648844,Open
108.0,0.649615,Open
109.0,0.653775,Open
110.0,0.655778,Open
111.0,0.657627,Open
112.0,0.659168,Open
113.0,0.656086,Open
114.0,0.651618,Open
115.0,0.649769,Open
116.0,0.649307,Open
117.0,0.646687,Open
118.0,0.648074,Open
119.0,0.645763,Open
120.0,0.643143,Open
121.0,0.639599,Open
122.0,0.641294,Open
123.0,0.645146,Open
124.0,0.652234,Open
125.0,0.660401,Open
126.0,0.669646,Open
127.0,0.677504,Open
128.0,0.68151,Open
129.0,0.684284,Open
130.0,0.686595,Open
131.0,0.689368,Open
132.0,0.689522,Open
133.0,0.68906,Open
134.0,0.691371,Open
135.0,0.691525,Open
136.0,0.689676,Open
137.0,0.688906,Open
138.0,0.691217,Open
139.0,0.690139,Open
140.0,0.691834,Open
141.0,0.697997,Open
142.0,0.702465,Open
143.0,0.702928,Open
144.0,0.703698,Open
145.0,0.703544,Open
146.0,0.701079,Open
147.0,0.698459,Open
148.0,0.698305,Open
149.0,0.695378,Open
150.0,0.688444,Open
151.0,0.677966,Open
152.0,0.665485,Open
153.0,0.65208,Open
154.0,0.643143,Open
155.0,0.640062,Open
156.0,0.636672,Open
157.0,0.633898,Open
158.0,0.632203,Open
159.0,0.631741,Open
160.0,0.628505,Open
161.0,0.628659,Open
162.0,0.628968,Open
163.0,0.624345,Open
164.0,0.613713,Open
165.0,0.609707,Open
166.0,0.608937,Open
167.0,0.608629,Open
168.0,0.612173,Open
169.0,0.619106,Open
170.0,0.620031,Open
171.0,0.618336,Open
172.0,0.620801,Open
173.0,0.625424,Open
